id,father_height,mother_height,boy_dummy,child_height
0,1.76,1.6,0,1.66
1,1.71,1.63,1,1.76
2,1.7,1.66,0,1.67
3,1.68,1.61,1,1.75
4,1.72,1.7,1,1.76
5,1.75,1.67,1,1.78
6,1.75,1.68,0,1.67
7,1.71,1.6,0,1.65
8,1.72,1.59,1,1.73
9,1.66,1.62,1,1.7
10,1.83,1.62,0,1.66
11,1.64,1.68,1,1.74
12,1.7,1.66,0,1.65
13,1.62,1.61,0,1.63
14,1.71,1.62,0,1.64
15,1.87,1.61,0,1.65
16,1.64,1.55,1,1.7
17,1.69,1.64,0,1.65
18,1.68,1.62,0,1.63
19,1.66,1.63,0,1.62
20,1.75,1.71,1,1.77
21,1.67,1.66,1,1.74
22,1.73,1.68,1,1.75
23,1.8,1.68,1,1.76
24,1.73,1.71,0,1.68
25,1.71,1.69,0,1.68
26,1.73,1.63,1,1.74
27,1.81,1.68,1,1.78
28,1.75,1.63,0,1.66
29,1.71,1.7,0,1.68
30,1.67,1.62,1,1.74
31,1.74,1.66,0,1.66
32,1.88,1.66,1,1.78
33,1.72,1.65,0,1.64
34,1.72,1.64,1,1.74
35,1.71,1.63,1,1.75
36,1.75,1.66,1,1.77
37,1.79,1.72,1,1.78
38,1.69,1.66,1,1.72
39,1.66,1.6,1,1.73
40,1.74,1.56,1,1.74
41,1.72,1.62,0,1.65
42,1.79,1.61,0,1.65
43,1.72,1.65,1,1.76
44,1.7,1.63,1,1.74
45,1.72,1.62,1,1.76
46,1.66,1.63,0,1.63
47,1.62,1.54,1,1.71
48,1.72,1.6,1,1.74
49,1.81,1.59,1,1.77
50,1.69,1.6,0,1.63
51,1.75,1.61,0,1.64
52,1.71,1.63,1,1.74
53,1.7,1.59,1,1.74
54,1.68,1.67,0,1.64
55,1.79,1.57,0,1.64
56,1.8,1.61,0,1.65
57,1.71,1.58,1,1.73
58,1.7,1.7,1,1.76
59,1.77,1.64,1,1.76
60,1.77,1.68,0,1.68
61,1.66,1.65,1,1.73
62,1.68,1.65,0,1.64
63,1.72,1.64,1,1.76
64,1.72,1.54,0,1.61
65,1.82,1.62,1,1.79
66,1.69,1.6,0,1.64
67,1.73,1.58,1,1.75
68,1.76,1.59,1,1.74
69,1.72,1.62,0,1.64
70,1.68,1.64,0,1.64
71,1.77,1.58,0,1.64
72,1.72,1.65,1,1.75
73,1.65,1.61,1,1.73
74,1.7,1.69,0,1.67
75,1.78,1.58,1,1.76
76,1.74,1.52,0,1.64
77,1.7,1.72,1,1.77
78,1.69,1.67,0,1.66
79,1.71,1.69,0,1.65
80,1.69,1.58,0,1.64
81,1.72,1.68,1,1.76
82,1.78,1.7,1,1.78
83,1.67,1.59,1,1.73
84,1.71,1.65,1,1.73
85,1.71,1.56,0,1.63
86,1.75,1.56,1,1.75
87,1.68,1.62,0,1.63
88,1.77,1.64,0,1.66
89,1.68,1.65,0,1.66
90,1.67,1.62,0,1.62
91,1.73,1.69,1,1.76
92,1.8,1.52,0,1.64
93,1.68,1.61,0,1.64
94,1.77,1.58,1,1.74
95,1.75,1.64,1,1.77
96,1.7,1.63,1,1.75
97,1.7,1.62,1,1.75
98,1.75,1.57,1,1.76
99,1.81,1.63,1,1.77
100,1.71,1.58,0,1.65
101,1.82,1.65,1,1.77
102,1.69,1.63,0,1.64
103,1.83,1.59,0,1.66
104,1.74,1.58,0,1.63
105,1.74,1.6,1,1.75
106,1.79,1.63,1,1.77
107,1.79,1.64,1,1.76
108,1.67,1.61,1,1.73
109,1.72,1.7,1,1.76
110,1.68,1.61,0,1.63
111,1.79,1.68,1,1.78
112,1.77,1.53,0,1.63
113,1.78,1.63,1,1.76
114,1.75,1.57,0,1.63
115,1.7,1.68,0,1.67
116,1.72,1.62,0,1.64
117,1.83,1.62,1,1.79
118,1.69,1.67,1,1.74
119,1.72,1.67,0,1.67
120,1.69,1.66,1,1.73
121,1.73,1.69,0,1.66
122,1.69,1.62,1,1.73
123,1.66,1.66,0,1.64
124,1.74,1.61,0,1.63
125,1.77,1.61,1,1.75
126,1.63,1.6,0,1.63
127,1.76,1.65,0,1.67
128,1.75,1.64,1,1.75
129,1.71,1.62,0,1.64
130,1.7,1.61,1,1.74
131,1.73,1.61,1,1.75
132,1.75,1.62,1,1.76
133,1.69,1.6,0,1.64
134,1.74,1.61,0,1.65
135,1.77,1.64,1,1.76
136,1.7,1.64,0,1.64
137,1.71,1.7,1,1.75
138,1.77,1.6,0,1.64
139,1.74,1.68,0,1.66
140,1.76,1.61,0,1.66
